Group,Year,Month,State,Condition.Group,Condition,ICD10_codes,Age.Group,COVID.19.Deaths,Number.of.Mentions,Flag,TotalPopulation
By Year,2020,-1,Alabama,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,57,60,NA,260319
By Year,2021,-1,Alabama,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,91,93,NA,263269
By Year,2020,-1,Alabama,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,52,53,NA,92869
By Year,2021,-1,Alabama,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,39,40,NA,92745
By Year,2020,-1,Alabama,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,238,248,NA,NA
By Year,2021,-1,Alabama,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,413,430,NA,NA
By Year,2020,-1,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,0,0,NA,1593854
By Year,2021,-1,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,0,0,NA,1600282
By Year,2020,-1,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,652775
By Year,2021,-1,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,654800
By Year,2020,-1,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,612737
By Year,2021,-1,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,38,38,NA,617494
By Year,2020,-1,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,35,35,NA,625102
By Year,2021,-1,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,76,76,NA,618787
By Year,2020,-1,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,106,107,NA,671322
By Year,2021,-1,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,170,172,NA,665798
By Year,2020,-1,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,170,173,NA,522384
By Year,2021,-1,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,237,238,NA,536671
By Year,2020,-1,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,187,189,NA,260319
By Year,2021,-1,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,206,210,NA,263269
By Year,2020,-1,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,85+,198,202,NA,92869
By Year,2021,-1,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,85+,182,188,NA,92745
By Year,2020,-1,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,704,714,NA,NA
By Year,2021,-1,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,913,926,NA,NA
By Year,2020,-1,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,0,0,NA,1593854
By Year,2021,-1,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,0,0,NA,1600282
By Year,2020,-1,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,652775
By Year,2021,-1,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,654800
By Year,2020,-1,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,612737
By Year,2021,-1,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,617494
By Year,2020,-1,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,14,15,NA,625102
By Year,2021,-1,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,38,41,NA,618787
By Year,2020,-1,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,54,62,NA,671322
By Year,2021,-1,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,112,119,NA,665798
By Year,2020,-1,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,158,175,NA,522384
By Year,2021,-1,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,195,215,NA,536671
By Year,2020,-1,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,183,192,NA,260319
By Year,2021,-1,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,205,221,NA,263269
By Year,2020,-1,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,85+,167,176,NA,92869
By Year,2021,-1,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,85+,127,133,NA,92745
By Year,2020,-1,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,580,624,NA,NA
By Year,2021,-1,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,686,738,NA,NA
By Year,2020,-1,Alabama,Circulatory diseases,Cardiac arrest,I46,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1593854
By Year,2021,-1,Alabama,Circulatory diseases,Cardiac arrest,I46,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1600282
By Year,2020,-1,Alabama,Circulatory diseases,Cardiac arrest,I46,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,652775
By Year,2021,-1,Alabama,Circulatory diseases,Cardiac arrest,I46,25-34,38,38,NA,654800
By Year,2020,-1,Alabama,Circulatory diseases,Cardiac arrest,I46,35-44,28,28,NA,612737
By Year,2021,-1,Alabama,Circulatory diseases,Cardiac arrest,I46,35-44,99,99,NA,617494
By Year,2020,-1,Alabama,Circulatory diseases,Cardiac arrest,I46,45-54,58,58,NA,625102
By Year,2021,-1,Alabama,Circulatory diseases,Cardiac arrest,I46,45-54,197,197,NA,618787
By Year,2020,-1,Alabama,Circulatory diseases,Cardiac arrest,I46,55-64,172,172,NA,671322
By Year,2021,-1,Alabama,Circulatory diseases,Cardiac arrest,I46,55-64,371,372,NA,665798
By Year,2020,-1,Alabama,Circulatory diseases,Cardiac arrest,I46,65-74,252,252,NA,522384
By Year,2021,-1,Alabama,Circulatory diseases,Cardiac arrest,I46,65-74,426,426,NA,536671
By Year,2020,-1,Alabama,Circulatory diseases,Cardiac arrest,I46,75-84,245,245,NA,260319
By Year,2021,-1,Alabama,Circulatory diseases,Cardiac arrest,I46,75-84,350,350,NA,263269
By Year,2020,-1,Alabama,Circulatory diseases,Cardiac arrest,I46,85+,189,189,NA,92869
By Year,2021,-1,Alabama,Circulatory diseases,Cardiac arrest,I46,85+,170,170,NA,92745
By Year,2020,-1,Alabama,Circulatory diseases,Cardiac arrest,I46,All Ages,952,952,NA,NA
By Year,2021,-1,Alabama,Circulatory diseases,Cardiac arrest,I46,All Ages,1658,1659,NA,NA
By Year,2020,-1,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1593854
By Year,2021,-1,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1600282
By Year,2020,-1,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,652775
By Year,2021,-1,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,654800
By Year,2020,-1,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,612737
By Year,2021,-1,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,19,19,NA,617494
By Year,2020,-1,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,13,13,NA,625102
By Year,2021,-1,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,42,43,NA,618787
By Year,2020,-1,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,48,49,NA,671322
By Year,2021,-1,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,91,95,NA,665798
By Year,2020,-1,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,95,100,NA,522384
By Year,2021,-1,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,148,150,NA,536671
By Year,2020,-1,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,142,145,NA,260319
By Year,2021,-1,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,184,189,NA,263269
By Year,2020,-1,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,138,141,NA,92869
By Year,2021,-1,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,134,134,NA,92745
By Year,2020,-1,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,443,455,NA,NA
By Year,2021,-1,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,623,635,NA,NA
By Year,2020,-1,Alabama,Circulatory diseases,Heart failure,I50,0-24,0,0,NA,1593854
By Year,2021,-1,Alabama,Circulatory diseases,Heart failure,I50,0-24,0,0,NA,1600282
By Year,2020,-1,Alabama,Circulatory diseases,Heart failure,I50,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,652775
By Year,2021,-1,Alabama,Circulatory diseases,Heart failure,I50,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,654800
By Year,2020,-1,Alabama,Circulatory diseases,Heart failure,I50,35-44,10,10,NA,612737
By Year,2021,-1,Alabama,Circulatory diseases,Heart failure,I50,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,617494
By Year,2020,-1,Alabama,Circulatory diseases,Heart failure,I50,45-54,11,11,NA,625102
By Year,2021,-1,Alabama,Circulatory diseases,Heart failure,I50,45-54,29,29,NA,618787
By Year,2020,-1,Alabama,Circulatory diseases,Heart failure,I50,55-64,41,41,NA,671322
By Year,2021,-1,Alabama,Circulatory diseases,Heart failure,I50,55-64,85,85,NA,665798
By Year,2020,-1,Alabama,Circulatory diseases,Heart failure,I50,65-74,86,86,NA,522384
By Year,2021,-1,Alabama,Circulatory diseases,Heart failure,I50,65-74,134,134,NA,536671
By Year,2020,-1,Alabama,Circulatory diseases,Heart failure,I50,75-84,134,134,NA,260319
By Year,2021,-1,Alabama,Circulatory diseases,Heart failure,I50,75-84,184,185,NA,263269
By Year,2020,-1,Alabama,Circulatory diseases,Heart failure,I50,85+,161,161,NA,92869
By Year,2021,-1,Alabama,Circulatory diseases,Heart failure,I50,85+,120,120,NA,92745
By Year,2020,-1,Alabama,Circulatory diseases,Heart failure,I50,All Ages,444,444,NA,NA
By Year,2021,-1,Alabama,Circulatory diseases,Heart failure,I50,All Ages,563,564,NA,NA
By Year,2020,-1,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,0,0,NA,1593854
By Year,2021,-1,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1600282
By Year,2020,-1,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,652775
By Year,2021,-1,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,654800
By Year,2020,-1,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,612737
By Year,2021,-1,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,14,16,NA,617494
By Year,2020,-1,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,12,13,NA,625102
By Year,2021,-1,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,23,23,NA,618787
By Year,2020,-1,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,28,29,NA,671322
By Year,2021,-1,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,65,68,NA,665798
By Year,2020,-1,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,75,77,NA,522384
By Year,2021,-1,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,110,117,NA,536671
By Year,2020,-1,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,78,79,NA,260319
By Year,2021,-1,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,101,104,NA,263269
By Year,2020,-1,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,87,87,NA,92869
By Year,2021,-1,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,75,75,NA,92745
By Year,2020,-1,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,287,292,NA,NA
By Year,2021,-1,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,396,411,NA,NA
By Year,2020,-1,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1593854
By Year,2021,-1,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1600282
By Year,2020,-1,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,652775
By Year,2021,-1,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,654800
By Year,2020,-1,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,15,17,NA,612737
By Year,2021,-1,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,32,33,NA,617494
By Year,2020,-1,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,24,26,NA,625102
By Year,2021,-1,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,74,80,NA,618787
By Year,2020,-1,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,58,61,NA,671322
By Year,2021,-1,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,145,153,NA,665798
By Year,2020,-1,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,87,100,NA,522384
By Year,2021,-1,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,174,182,NA,536671
By Year,2020,-1,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,119,131,NA,260319
By Year,2021,-1,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,134,144,NA,263269
By Year,2020,-1,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,90,98,NA,92869
By Year,2021,-1,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,105,113,NA,92745
By Year,2020,-1,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,402,442,NA,NA
By Year,2021,-1,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,674,717,NA,NA
By Year,2020,-1,Alabama,Sepsis,Sepsis,A40-A41,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1593854
By Year,2021,-1,Alabama,Sepsis,Sepsis,A40-A41,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1600282
By Year,2020,-1,Alabama,Sepsis,Sepsis,A40-A41,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,652775
By Year,2021,-1,Alabama,Sepsis,Sepsis,A40-A41,25-34,21,21,NA,654800
By Year,2020,-1,Alabama,Sepsis,Sepsis,A40-A41,35-44,23,23,NA,612737
By Year,2021,-1,Alabama,Sepsis,Sepsis,A40-A41,35-44,66,66,NA,617494
By Year,2020,-1,Alabama,Sepsis,Sepsis,A40-A41,45-54,69,69,NA,625102
By Year,2021,-1,Alabama,Sepsis,Sepsis,A40-A41,45-54,152,152,NA,618787
By Year,2020,-1,Alabama,Sepsis,Sepsis,A40-A41,55-64,131,131,NA,671322
By Year,2021,-1,Alabama,Sepsis,Sepsis,A40-A41,55-64,276,276,NA,665798
By Year,2020,-1,Alabama,Sepsis,Sepsis,A40-A41,65-74,232,232,NA,522384
By Year,2021,-1,Alabama,Sepsis,Sepsis,A40-A41,65-74,350,351,NA,536671
By Year,2020,-1,Alabama,Sepsis,Sepsis,A40-A41,75-84,215,215,NA,260319
By Year,2021,-1,Alabama,Sepsis,Sepsis,A40-A41,75-84,241,241,NA,263269
By Year,2020,-1,Alabama,Sepsis,Sepsis,A40-A41,85+,87,87,NA,92869
By Year,2021,-1,Alabama,Sepsis,Sepsis,A40-A41,85+,87,87,NA,92745
By Year,2020,-1,Alabama,Sepsis,Sepsis,A40-A41,All Ages,766,766,NA,NA
By Year,2021,-1,Alabama,Sepsis,Sepsis,A40-A41,All Ages,1195,1196,NA,NA
By Year,2020,-1,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,0,0,NA,1593854
By Year,2021,-1,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,0,0,NA,1600282
By Year,2020,-1,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,0,0,NA,652775
By Year,2021,-1,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,654800
By Year,2020,-1,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,612737
By Year,2021,-1,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,617494
By Year,2020,-1,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,5,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,625102
By Year,2021,-1,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,17,19,NA,618787
By Year,2020,-1,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,29,31,NA,671322
By Year,2021,-1,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,72,80,NA,665798
By Year,2020,-1,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,72,76,NA,522384
By Year,2021,-1,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,114,130,NA,536671
By Year,2020,-1,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,66,73,NA,260319
By Year,2021,-1,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,96,106,NA,263269
By Year,2020,-1,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,43,46,NA,92869
By Year,2021,-1,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,45,49,NA,92745
By Year,2020,-1,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,222,240,NA,NA
By Year,2021,-1,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,354,394,NA,NA
By Year,2020,-1,Alabama,Diabetes,Diabetes,E10-E14,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1593854
By Year,2021,-1,Alabama,Diabetes,Diabetes,E10-E14,0-24,0,0,NA,1600282
By Year,2020,-1,Alabama,Diabetes,Diabetes,E10-E14,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,652775
By Year,2021,-1,Alabama,Diabetes,Diabetes,E10-E14,25-34,14,14,NA,654800
By Year,2020,-1,Alabama,Diabetes,Diabetes,E10-E14,35-44,18,19,NA,612737
By Year,2021,-1,Alabama,Diabetes,Diabetes,E10-E14,35-44,49,49,NA,617494
By Year,2020,-1,Alabama,Diabetes,Diabetes,E10-E14,45-54,52,52,NA,625102
By Year,2021,-1,Alabama,Diabetes,Diabetes,E10-E14,45-54,106,106,NA,618787
By Year,2020,-1,Alabama,Diabetes,Diabetes,E10-E14,55-64,126,126,NA,671322
By Year,2021,-1,Alabama,Diabetes,Diabetes,E10-E14,55-64,212,216,NA,665798
By Year,2020,-1,Alabama,Diabetes,Diabetes,E10-E14,65-74,199,199,NA,522384
By Year,2021,-1,Alabama,Diabetes,Diabetes,E10-E14,65-74,277,277,NA,536671
By Year,2020,-1,Alabama,Diabetes,Diabetes,E10-E14,75-84,188,188,NA,260319
By Year,2021,-1,Alabama,Diabetes,Diabetes,E10-E14,75-84,247,251,NA,263269
By Year,2020,-1,Alabama,Diabetes,Diabetes,E10-E14,85+,107,107,NA,92869
By Year,2021,-1,Alabama,Diabetes,Diabetes,E10-E14,85+,80,85,NA,92745
By Year,2020,-1,Alabama,Diabetes,Diabetes,E10-E14,All Ages,696,697,NA,NA
By Year,2021,-1,Alabama,Diabetes,Diabetes,E10-E14,All Ages,985,998,NA,NA
By Year,2020,-1,Alabama,Obesity,Obesity,E65-E68,0-24,0,0,NA,1593854
By Year,2021,-1,Alabama,Obesity,Obesity,E65-E68,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1600282
By Year,2020,-1,Alabama,Obesity,Obesity,E65-E68,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,652775
By Year,2021,-1,Alabama,Obesity,Obesity,E65-E68,25-34,18,18,NA,654800
By Year,2020,-1,Alabama,Obesity,Obesity,E65-E68,35-44,11,11,NA,612737
By Year,2021,-1,Alabama,Obesity,Obesity,E65-E68,35-44,56,56,NA,617494
By Year,2020,-1,Alabama,Obesity,Obesity,E65-E68,45-54,31,31,NA,625102
By Year,2021,-1,Alabama,Obesity,Obesity,E65-E68,45-54,66,66,NA,618787
By Year,2020,-1,Alabama,Obesity,Obesity,E65-E68,55-64,46,46,NA,671322
By Year,2021,-1,Alabama,Obesity,Obesity,E65-E68,55-64,86,86,NA,665798
By Year,2020,-1,Alabama,Obesity,Obesity,E65-E68,65-74,40,40,NA,522384
By Year,2021,-1,Alabama,Obesity,Obesity,E65-E68,65-74,61,61,NA,536671
By Year,2020,-1,Alabama,Obesity,Obesity,E65-E68,75-84,24,24,NA,260319
By Year,2021,-1,Alabama,Obesity,Obesity,E65-E68,75-84,26,26,NA,263269
By Year,2020,-1,Alabama,Obesity,Obesity,E65-E68,85+,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,92869
By Year,2021,-1,Alabama,Obesity,Obesity,E65-E68,85+,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,92745
By Year,2020,-1,Alabama,Obesity,Obesity,E65-E68,All Ages,166,166,NA,NA
By Year,2021,-1,Alabama,Obesity,Obesity,E65-E68,All Ages,320,320,NA,NA
By Year,2020,-1,Alabama,Alzheimer disease,Alzheimer disease,G30,0-24,0,0,NA,1593854
By Year,2021,-1,Alabama,Alzheimer disease,Alzheimer disease,G30,0-24,0,0,NA,1600282
By Year,2020,-1,Alabama,Alzheimer disease,Alzheimer disease,G30,25-34,0,0,NA,652775
By Year,2021,-1,Alabama,Alzheimer disease,Alzheimer disease,G30,25-34,0,0,NA,654800
By Year,2020,-1,Alabama,Alzheimer disease,Alzheimer disease,G30,35-44,0,0,NA,612737
By Year,2021,-1,Alabama,Alzheimer disease,Alzheimer disease,G30,35-44,0,0,NA,617494
By Year,2020,-1,Alabama,Alzheimer disease,Alzheimer disease,G30,45-54,0,0,NA,625102
By Year,2021,-1,Alabama,Alzheimer disease,Alzheimer disease,G30,45-54,0,0,NA,618787
By Year,2020,-1,Alabama,Alzheimer disease,Alzheimer disease,G30,55-64,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,671322
By Year,2021,-1,Alabama,Alzheimer disease,Alzheimer disease,G30,55-64,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,665798
By Year,2020,-1,Alabama,Alzheimer disease,Alzheimer disease,G30,65-74,19,19,NA,522384
By Year,2021,-1,Alabama,Alzheimer disease,Alzheimer disease,G30,65-74,16,16,NA,536671
By Year,2020,-1,Alabama,Alzheimer disease,Alzheimer disease,G30,75-84,73,73,NA,260319
By Year,2021,-1,Alabama,Alzheimer disease,Alzheimer disease,G30,75-84,42,42,NA,263269
By Year,2020,-1,Alabama,Alzheimer disease,Alzheimer disease,G30,85+,113,113,NA,92869
By Year,2021,-1,Alabama,Alzheimer disease,Alzheimer disease,G30,85+,76,77,NA,92745
By Year,2020,-1,Alabama,Alzheimer disease,Alzheimer disease,G30,All Ages,207,207,NA,NA
By Year,2021,-1,Alabama,Alzheimer disease,Alzheimer disease,G30,All Ages,136,137,NA,NA
By Year,2020,-1,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,0,NA,1593854
By Year,2021,-1,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,0,NA,1600282
By Year,2020,-1,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,0,0,NA,652775
