"Group","Year","Month","State","Condition.Group","Condition","ICD10_codes","Age.Group","COVID.19.Deaths","Number.of.Mentions","Flag"
"By Year",2021,-1,"California","COVID-19","COVID-19","U071","25-34",823,823,""
"By Year",2020,-1,"California","COVID-19","COVID-19","U071","35-44",923,923,""
"By Year",2021,-1,"California","COVID-19","COVID-19","U071","35-44",1942,1942,""
"By Year",2020,-1,"California","COVID-19","COVID-19","U071","45-54",2354,2354,""
"By Year",2021,-1,"California","COVID-19","COVID-19","U071","45-54",4367,4367,""
"By Year",2020,-1,"California","COVID-19","COVID-19","U071","55-64",4953,4953,""
"By Year",2021,-1,"California","COVID-19","COVID-19","U071","55-64",8874,8874,""
"By Year",2020,-1,"California","COVID-19","COVID-19","U071","65-74",7268,7268,""
"By Year",2021,-1,"California","COVID-19","COVID-19","U071","65-74",11235,11235,""
"By Year",2020,-1,"California","COVID-19","COVID-19","U071","75-84",8211,8211,""
"By Year",2021,-1,"California","COVID-19","COVID-19","U071","75-84",10857,10857,""
"By Year",2020,-1,"California","COVID-19","COVID-19","U071","85+",9308,9308,""
"By Year",2021,-1,"California","COVID-19","COVID-19","U071","85+",10042,10042,""
"By Year",2020,-1,"California","COVID-19","COVID-19","U071","All Ages",33486,33486,""
"By Year",2021,-1,"California","COVID-19","COVID-19","U071","All Ages",48334,48334,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Influenza and pneumonia","J09-J18","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Respiratory diseases","Influenza and pneumonia","J09-J18","0-24",13,15,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Influenza and pneumonia","J09-J18","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Respiratory diseases","Influenza and pneumonia","J09-J18","25-34",50,53,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Influenza and pneumonia","J09-J18","35-44",33,33,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Influenza and pneumonia","J09-J18","35-44",107,116,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Influenza and pneumonia","J09-J18","45-54",120,122,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Influenza and pneumonia","J09-J18","45-54",296,326,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Influenza and pneumonia","J09-J18","55-64",237,248,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Influenza and pneumonia","J09-J18","55-64",626,689,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Influenza and pneumonia","J09-J18","65-74",495,519,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Influenza and pneumonia","J09-J18","65-74",892,956,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Influenza and pneumonia","J09-J18","75-84",660,679,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Influenza and pneumonia","J09-J18","75-84",793,837,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Influenza and pneumonia","J09-J18","85+",699,708,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Influenza and pneumonia","J09-J18","85+",592,613,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Influenza and pneumonia","J09-J18","All Ages",2257,2322,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Influenza and pneumonia","J09-J18","All Ages",3369,3605,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","0-24",0,0,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","35-44",14,15,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","45-54",16,17,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","45-54",29,31,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","55-64",45,48,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","55-64",113,122,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","65-74",139,156,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","65-74",190,205,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","75-84",232,245,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","75-84",237,258,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","85+",207,211,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","85+",164,170,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",644,682,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",754,808,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Adult respiratory distress syndrome","J80","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Respiratory diseases","Adult respiratory distress syndrome","J80","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Respiratory diseases","Adult respiratory distress syndrome","J80","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Respiratory diseases","Adult respiratory distress syndrome","J80","25-34",15,15,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Adult respiratory distress syndrome","J80","35-44",16,16,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Adult respiratory distress syndrome","J80","35-44",51,51,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Adult respiratory distress syndrome","J80","45-54",73,73,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Adult respiratory distress syndrome","J80","45-54",131,131,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Adult respiratory distress syndrome","J80","55-64",159,159,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Adult respiratory distress syndrome","J80","55-64",297,297,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Adult respiratory distress syndrome","J80","65-74",277,277,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Adult respiratory distress syndrome","J80","65-74",351,351,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Adult respiratory distress syndrome","J80","75-84",287,287,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Adult respiratory distress syndrome","J80","75-84",243,243,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Adult respiratory distress syndrome","J80","85+",266,266,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Adult respiratory distress syndrome","J80","85+",100,100,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages",1086,1086,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages",1196,1196,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Respiratory failure","J96","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Respiratory diseases","Respiratory failure","J96","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Respiratory diseases","Respiratory failure","J96","25-34",10,10,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Respiratory failure","J96","25-34",35,35,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Respiratory failure","J96","35-44",27,27,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Respiratory failure","J96","35-44",76,78,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Respiratory failure","J96","45-54",74,77,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Respiratory failure","J96","45-54",205,209,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Respiratory failure","J96","55-64",162,171,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Respiratory failure","J96","55-64",425,440,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Respiratory failure","J96","65-74",391,418,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Respiratory failure","J96","65-74",661,711,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Respiratory failure","J96","75-84",565,622,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Respiratory failure","J96","75-84",662,710,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Respiratory failure","J96","85+",628,674,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Respiratory failure","J96","85+",499,538,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Respiratory failure","J96","All Ages",1861,2003,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Respiratory failure","J96","All Ages",2572,2730,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Respiratory arrest","R09.2","0-24",0,0,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Respiratory arrest","R09.2","0-24",0,0,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Respiratory arrest","R09.2","25-34",0,0,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Respiratory arrest","R09.2","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Respiratory diseases","Respiratory arrest","R09.2","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Respiratory diseases","Respiratory arrest","R09.2","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Respiratory diseases","Respiratory arrest","R09.2","45-54",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Respiratory diseases","Respiratory arrest","R09.2","45-54",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Respiratory diseases","Respiratory arrest","R09.2","55-64",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Respiratory diseases","Respiratory arrest","R09.2","55-64",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Respiratory diseases","Respiratory arrest","R09.2","65-74",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Respiratory diseases","Respiratory arrest","R09.2","65-74",19,19,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Respiratory arrest","R09.2","75-84",11,11,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Respiratory arrest","R09.2","75-84",13,13,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Respiratory arrest","R09.2","85+",13,13,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Respiratory arrest","R09.2","85+",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Respiratory diseases","Respiratory arrest","R09.2","All Ages",45,45,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Respiratory arrest","R09.2","All Ages",59,59,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","25-34",10,13,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","35-44",26,29,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","45-54",16,17,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","45-54",48,51,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","55-64",30,34,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","55-64",110,120,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","65-74",56,60,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","65-74",148,162,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","75-84",73,74,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","75-84",122,135,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","85+",69,72,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","85+",75,86,""
"By Year",2020,-1,"Colorado","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","All Ages",251,266,""
"By Year",2021,-1,"Colorado","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","All Ages",541,598,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Hypertensive diseases","I10-I15","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Circulatory diseases","Hypertensive diseases","I10-I15","0-24",0,0,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Hypertensive diseases","I10-I15","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Circulatory diseases","Hypertensive diseases","I10-I15","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Circulatory diseases","Hypertensive diseases","I10-I15","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Circulatory diseases","Hypertensive diseases","I10-I15","35-44",26,26,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Hypertensive diseases","I10-I15","45-54",36,37,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Hypertensive diseases","I10-I15","45-54",77,77,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Hypertensive diseases","I10-I15","55-64",83,85,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Hypertensive diseases","I10-I15","55-64",182,184,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Hypertensive diseases","I10-I15","65-74",178,183,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Hypertensive diseases","I10-I15","65-74",276,278,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Hypertensive diseases","I10-I15","75-84",270,272,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Hypertensive diseases","I10-I15","75-84",306,309,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Hypertensive diseases","I10-I15","85+",387,397,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Hypertensive diseases","I10-I15","85+",313,314,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Hypertensive diseases","I10-I15","All Ages",965,985,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Hypertensive diseases","I10-I15","All Ages",1185,1193,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Ischemic heart disease","I20-I25","0-24",0,0,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Ischemic heart disease","I20-I25","0-24",0,0,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Ischemic heart disease","I20-I25","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Circulatory diseases","Ischemic heart disease","I20-I25","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Circulatory diseases","Ischemic heart disease","I20-I25","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Circulatory diseases","Ischemic heart disease","I20-I25","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Circulatory diseases","Ischemic heart disease","I20-I25","45-54",10,10,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Ischemic heart disease","I20-I25","45-54",38,41,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Ischemic heart disease","I20-I25","55-64",41,44,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Ischemic heart disease","I20-I25","55-64",95,107,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Ischemic heart disease","I20-I25","65-74",108,119,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Ischemic heart disease","I20-I25","65-74",163,178,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Ischemic heart disease","I20-I25","75-84",165,181,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Ischemic heart disease","I20-I25","75-84",180,193,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Ischemic heart disease","I20-I25","85+",205,220,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Ischemic heart disease","I20-I25","85+",172,189,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",532,577,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",653,713,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Cardiac arrest","I46","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Circulatory diseases","Cardiac arrest","I46","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Circulatory diseases","Cardiac arrest","I46","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Circulatory diseases","Cardiac arrest","I46","25-34",14,14,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Cardiac arrest","I46","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Circulatory diseases","Cardiac arrest","I46","35-44",23,23,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Cardiac arrest","I46","45-54",15,15,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Cardiac arrest","I46","45-54",49,49,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Cardiac arrest","I46","55-64",34,34,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Cardiac arrest","I46","55-64",70,70,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Cardiac arrest","I46","65-74",56,56,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Cardiac arrest","I46","65-74",86,86,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Cardiac arrest","I46","75-84",46,46,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Cardiac arrest","I46","75-84",63,63,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Cardiac arrest","I46","85+",57,57,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Cardiac arrest","I46","85+",46,46,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Cardiac arrest","I46","All Ages",218,218,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Cardiac arrest","I46","All Ages",354,354,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","35-44",13,13,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","45-54",14,16,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","45-54",31,32,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","55-64",27,27,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","55-64",84,89,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","65-74",81,85,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","65-74",149,157,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","75-84",153,163,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","75-84",220,229,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","85+",205,213,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","85+",229,237,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",483,507,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",729,761,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Heart failure","I50","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Circulatory diseases","Heart failure","I50","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Circulatory diseases","Heart failure","I50","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Circulatory diseases","Heart failure","I50","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Circulatory diseases","Heart failure","I50","35-44",0,0,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Heart failure","I50","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Circulatory diseases","Heart failure","I50","45-54",12,12,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Heart failure","I50","45-54",14,14,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Heart failure","I50","55-64",27,27,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Heart failure","I50","55-64",52,52,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Heart failure","I50","65-74",75,75,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Heart failure","I50","65-74",92,93,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Heart failure","I50","75-84",146,146,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Heart failure","I50","75-84",143,143,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Heart failure","I50","85+",220,220,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Heart failure","I50","85+",199,199,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Heart failure","I50","All Ages",482,482,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Heart failure","I50","All Ages",511,512,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Cerebrovascular diseases","I60-I69","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Circulatory diseases","Cerebrovascular diseases","I60-I69","0-24",0,0,""
"By Year",2020,-1,"Colorado","Circulatory diseases","Cerebrovascular diseases","I60-I69","25-34",0,0,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Cerebrovascular diseases","I60-I69","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Circulatory diseases","Cerebrovascular diseases","I60-I69","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Colorado","Circulatory diseases","Cerebrovascular diseases","I60-I69","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Colorado","Circulatory diseases","Cerebrovascular diseases","I60-I69","45-54",11,15,""
"By Year",2021,-1,"Colorado","Circulatory diseases","Cerebrovascular diseases","I60-I69","45-54",26,29,""
